district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Cipinang Elok 2,Jatinegara,-6.2231612,106.8871831,31/05/2024,5900000000.0,266.0,200.0,1.0,3.0,4.0,2.0,,SHM,4400.0,Semi Furnished,2024.0
Bambu Apus,Ciracas,-6.3092491,106.9033981,11/05/2024,750000000.0,85.0,74.0,2.0,3.0,3.0,1.0,,SHM,2199.0,Unfurnished,2024.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,23/03/2024,1200000000.0,52.0,52.0,2.0,3.0,2.0,,1.0,AJB,1300.0,Unfurnished,2021.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,16/03/2024,3000000000.0,100.0,102.0,2.0,4.0,2.0,2.0,,SHM,2200.0,Unfurnished,
Cempaka Putih,Jakarta Pusat,-6.1868333,106.8665002,16/03/2024,9500000000.0,360.0,350.0,2.0,4.0,3.0,,,SHM,7700.0,Semi Furnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,2650000000.0,119.0,298.0,2.0,4.0,3.0,,,SHM,3300.0,Semi Furnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,1900000000.0,75.0,150.0,2.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,2700000000.0,90.0,135.0,1.0,3.0,2.0,,,SHM,2200.0,Unfurnished,2022.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,4000000000.0,180.0,300.0,2.0,3.0,3.0,,,SHM,2200.0,Unfurnished,2022.0
Palmerah,Jakarta Barat,-6.1942907,106.793333,16/03/2024,5900000000.0,122.0,400.0,3.0,10.0,10.0,,,SHM,3500.0,Full Furnished,2021.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,16/03/2024,25000000000.0,525.0,1345.0,2.0,2.0,3.0,,,SHM,53000.0,Unfurnished,2021.0
Grogol Petamburan,Jakarta Barat,-6.161697999999999,106.7846412,16/03/2024,4500000000.0,112.0,238.0,3.0,5.0,5.0,,,SHM,4400.0,Semi Furnished,2020.0
Cakung,Jakarta Timur,-6.187507500000001,106.9593843,29/02/2024,5800000000.0,400.0,300.0,2.0,6.0,5.0,2.0,2.0,,4400.0,Semi Furnished,2008.0
Pantai Indah Kapuk,Cengkareng,-6.103434,106.7405895,29/03/2024,15700000000.0,537.0,950.0,3.0,6.0,6.0,,1.0,SHM,11000.0,,2000.0
Unilever,Pesanggrahan,-6.2365273,106.751266,22/04/2024,5000000000.0,486.0,250.0,1.0,4.0,2.0,2.0,2.0,SHM,,,
Mampang Prapatan,Jakarta Selatan,-6.2481661,106.8262565,14/04/2024,17500000000.0,650.0,500.0,2.0,3.0,2.0,10.0,2.0,SHM,,,
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,14/04/2024,12000000000.0,204.0,250.0,2.0,4.0,3.0,1.0,1.0,SHM,,,
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,14/04/2024,13700000000.0,449.0,200.0,2.0,5.0,2.0,,4.0,SHM,,,
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,14/04/2024,16500000000.0,1406.0,383.0,2.0,4.0,3.0,,,SHM,,,
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,10/03/2024,3000000000.0,120.0,128.0,2.0,3.0,3.0,1.0,1.0,SHM,2200.0,Unfurnished,2022.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,16/03/2024,5500000000.0,212.0,195.0,2.0,4.0,3.0,,,SHM,2200.0,Unfurnished,2020.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,16/03/2024,18000000000.0,900.0,600.0,2.0,5.0,3.0,,,SHM,6600.0,Unfurnished,2020.0
Mampang Prapatan,Jakarta Selatan,-6.2481661,106.8262565,16/03/2024,16000000000.0,587.0,350.0,1.0,4.0,3.0,,,SHM,10000.0,Semi Furnished,2020.0
Ciracas,Jakarta Timur,-6.308751699999999,106.8749344,16/03/2024,3200000000.0,220.0,220.0,2.0,3.0,3.0,,,SHM,3500.0,Semi Furnished,2019.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,16/03/2024,4500000000.0,153.0,180.0,2.0,4.0,3.0,,,SHM,3500.0,Semi Furnished,2022.0
Pondok Kelapa,Duren Sawit,-6.2393686,106.9299579,21/02/2024,2490000000.0,129.0,180.0,2.0,3.0,3.0,1.0,,SHM,3500.0,Semi Furnished,2020.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,29/02/2024,3500000000.0,90.0,125.0,,4.0,3.0,1.0,1.0,HGB,3500.0,Semi Furnished,2015.0
Cipayung,Jakarta Timur,-6.3153539,106.8928693,21/02/2024,888000000.0,49.0,50.0,2.0,2.0,2.0,1.0,,SHM,,Unfurnished,2024.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,17/04/2024,2000000000.0,150.0,100.0,1.0,,1.0,,,SHM,1300.0,,2000.0
